Disease,Symptom,HealthTips
COVID-19,"[""swelling"", ""chill"", ""joint pain""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""joint pain"", ""tremor"", ""sore throat"", ""nausea""]",Practice stress-reducing techniques like meditation.
Stroke,"[""weight loss"", ""chest pain"", ""sleeplessness"", ""night sweats"", ""tremor"", ""loss of smell"", ""loss of taste""]",Maintain a balanced diet and stay hydrated.
Rheumatoid arthritis,"[""seizure"", ""loss of smell"", ""fever""]",Quit smoking and avoid alcohol consumption. Avoid known triggers and allergens.
Alzheimer's disease,"[""sleeplessness"", ""rash"", ""fever""]",Avoid known triggers and allergens.
Hypertension,"[""confusion"", ""headache"", ""nausea""]",Follow prescribed medication schedules carefully.
Migraine,"[""fever"", ""sleeplessness"", ""constipation""]",Follow prescribed medication schedules carefully.
Parkinson's disease,"[""nausea"", ""chest pain"", ""blurred vision"", ""night sweats"", ""agitation""]",Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""loss of taste"", ""nausea"", ""rash"", ""loss of smell"", ""dizziness"", ""tremor"", ""cough""]",Get adequate rest and sleep.
Hyperthyroidism,"[""nausea"", ""sore throat"", ""blurred vision"", ""headache"", ""vomiting"", ""confusion"", ""sleeplessness"", ""swelling""]",Maintain a balanced diet and stay hydrated.
Parkinson's disease,"[""fatigue"", ""sleeplessness"", ""palpitations"", ""muscle twitch"", ""sore throat"", ""dizziness""]",Practice stress-reducing techniques like meditation.
Stroke,"[""chill"", ""loss of taste"", ""loss of smell"", ""chill""]",Maintain a balanced diet and stay hydrated.
Rheumatoid arthritis,"[""chill"", ""muscle twitch"", ""fever"", ""constipation""]",Stay informed and get vaccinated when available. Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""nausea"", ""loss of smell"", ""rash""]",Get adequate rest and sleep.
Parkinson's disease,"[""diarrhea"", ""confusion"", ""swelling"", ""agitation""]",Maintain a balanced diet and stay hydrated. Follow prescribed medication schedules carefully.
Tuberculosis,"[""fatigue"", ""chest pain"", ""blurred vision"", ""chill"", ""diarrhea"", ""cough"", ""joint pain""]",Engage in regular physical activity appropriate to your condition. Practice stress-reducing techniques like meditation.
Epilepsy,"[""sore throat"", ""chill"", ""constipation"", ""chest pain"", ""joint pain"", ""fatigue"", ""vomiting"", ""dizziness""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""loss of smell"", ""chill"", ""seizure"", ""vomiting"", ""agitation""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Rheumatoid arthritis,"[""dizziness"", ""nausea"", ""swelling"", ""shortness of breath"", ""fever"", ""blurred vision"", ""joint pain"", ""vomiting""]",Maintain a balanced diet and stay hydrated. Practice stress-reducing techniques like meditation.
Adhesion,"[""sore throat"", ""weight loss"", ""tremor"", ""muscle twitch"", ""dizziness"", ""fatigue"", ""rash""]",Quit smoking and avoid alcohol consumption.
Diabetes mellitus,"[""palpitations"", ""loss of smell"", ""loss of taste"", ""confusion"", ""joint pain"", ""dizziness"", ""dizziness"", ""chill""]",Maintain a balanced diet and stay hydrated.
Migraine,"[""swelling"", ""chill"", ""dizziness""]",Practice stress-reducing techniques like meditation.
Alzheimer's disease,"[""loss of taste"", ""seizure"", ""palpitations"", ""swelling""]",Avoid known triggers and allergens.
Hyperthyroidism,"[""chill"", ""chest pain"", ""seizure""]",Practice stress-reducing techniques like meditation.
Hypothyroidism,"[""loss of taste"", ""palpitations"", ""confusion"", ""night sweats"", ""seizure""]",Avoid known triggers and allergens. Get adequate rest and sleep.
Parkinson's disease,"[""dizziness"", ""diarrhea"", ""loss of smell"", ""confusion"", ""sleeplessness""]",Maintain hygiene to prevent infections. Quit smoking and avoid alcohol consumption.
Alzheimer's disease,"[""palpitations"", ""confusion"", ""seizure"", ""diarrhea"", ""loss of smell"", ""swelling""]",Ensure regular check-ups with your healthcare provider.
Anemia,"[""shortness of breath"", ""swelling"", ""confusion"", ""palpitations"", ""loss of smell""]",Get adequate rest and sleep. Engage in regular physical activity appropriate to your condition.
COVID-19,"[""nausea"", ""shortness of breath"", ""cough"", ""chest pain"", ""fatigue"", ""rash"", ""chill"", ""blurred vision""]",Maintain hygiene to prevent infections.
Migraine,"[""nausea"", ""fever"", ""rash"", ""swelling""]",Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""weight loss"", ""sleeplessness"", ""sore throat"", ""nausea"", ""headache"", ""chest pain"", ""joint pain""]",Stay informed and get vaccinated when available. Practice stress-reducing techniques like meditation.
Adhesion,"[""night sweats"", ""rash"", ""weight loss"", ""swelling"", ""chill"", ""nausea"", ""shortness of breath"", ""diarrhea""]",Practice stress-reducing techniques like meditation. Quit smoking and avoid alcohol consumption.
Alzheimer's disease,"[""fatigue"", ""chill"", ""vomiting"", ""chest pain""]",Ensure regular check-ups with your healthcare provider. Maintain hygiene to prevent infections.
Asthma,"[""diarrhea"", ""blurred vision"", ""vomiting"", ""muscle twitch"", ""fatigue"", ""loss of taste"", ""dizziness"", ""cough""]",Quit smoking and avoid alcohol consumption. Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""shortness of breath"", ""loss of taste"", ""dizziness"", ""weight loss"", ""fatigue"", ""chill""]",Stay informed and get vaccinated when available.
Asthma,"[""muscle twitch"", ""fatigue"", ""vomiting"", ""weight loss""]",Maintain a balanced diet and stay hydrated. Get adequate rest and sleep.
COPD,"[""sleeplessness"", ""muscle twitch"", ""night sweats"", ""palpitations""]",Ensure regular check-ups with your healthcare provider.
Migraine,"[""tremor"", ""diarrhea"", ""constipation"", ""weight loss"", ""rash"", ""chill"", ""shortness of breath""]",Follow prescribed medication schedules carefully.
Alzheimer's disease,"[""blurred vision"", ""dizziness"", ""weight loss"", ""joint pain"", ""loss of smell""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Tuberculosis,"[""seizure"", ""swelling"", ""cough"", ""dizziness"", ""rash"", ""sleeplessness"", ""chill""]",Maintain hygiene to prevent infections. Engage in regular physical activity appropriate to your condition.
Hypertension,"[""diarrhea"", ""sore throat"", ""vomiting""]",Maintain a balanced diet and stay hydrated. Follow prescribed medication schedules carefully.
Coronary artery disease,"[""loss of taste"", ""night sweats"", ""palpitations"", ""muscle twitch"", ""loss of smell"", ""headache""]",Maintain hygiene to prevent infections.
Anemia,"[""constipation"", ""blurred vision"", ""diarrhea"", ""cough"", ""rash"", ""confusion""]",Engage in regular physical activity appropriate to your condition.
COPD,"[""joint pain"", ""blurred vision"", ""weight loss"", ""shortness of breath"", ""nausea"", ""fever"", ""diarrhea""]",Maintain hygiene to prevent infections.
Adhesion,"[""chill"", ""chill"", ""muscle twitch"", ""agitation"", ""sore throat"", ""joint pain"", ""nausea""]",Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""diarrhea"", ""cough"", ""dizziness"", ""loss of smell""]",Avoid known triggers and allergens.
Diabetes mellitus,"[""chill"", ""blurred vision"", ""fever""]",Avoid known triggers and allergens.
COPD,"[""constipation"", ""chest pain"", ""weight loss"", ""chill""]",Ensure regular check-ups with your healthcare provider.
COPD,"[""diarrhea"", ""chest pain"", ""shortness of breath"", ""constipation""]",Practice stress-reducing techniques like meditation. Quit smoking and avoid alcohol consumption.
Depression,"[""sleeplessness"", ""chest pain"", ""night sweats"", ""cough""]",Follow prescribed medication schedules carefully.
Stroke,"[""chill"", ""constipation"", ""fever"", ""dizziness"", ""tremor"", ""sore throat"", ""blurred vision"", ""seizure""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""rash"", ""vomiting"", ""fever"", ""seizure"", ""shortness of breath"", ""chill"", ""fatigue"", ""dizziness""]",Quit smoking and avoid alcohol consumption.
Anemia,"[""cough"", ""headache"", ""confusion"", ""weight loss"", ""agitation"", ""constipation"", ""dizziness"", ""joint pain""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""night sweats"", ""fatigue"", ""chest pain"", ""shortness of breath"", ""nausea"", ""weight loss"", ""loss of smell"", ""joint pain""]",Maintain hygiene to prevent infections.
Hyperthyroidism,"[""night sweats"", ""rash"", ""fatigue""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""dizziness"", ""joint pain"", ""swelling"", ""muscle twitch"", ""weight loss""]",Maintain a balanced diet and stay hydrated. Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""joint pain"", ""vomiting"", ""rash"", ""headache""]",Get adequate rest and sleep. Follow prescribed medication schedules carefully.
Asthma,"[""palpitations"", ""constipation"", ""nausea"", ""swelling"", ""muscle twitch"", ""diarrhea""]",Quit smoking and avoid alcohol consumption. Maintain hygiene to prevent infections.
Hyperthyroidism,"[""joint pain"", ""chill"", ""chest pain"", ""dizziness"", ""blurred vision""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Rheumatoid arthritis,"[""chill"", ""sleeplessness"", ""dizziness"", ""headache"", ""loss of smell"", ""sore throat"", ""tremor"", ""swelling""]",Follow prescribed medication schedules carefully.
Coronary artery disease,"[""cough"", ""headache"", ""vomiting"", ""tremor"", ""fatigue""]",Quit smoking and avoid alcohol consumption.
Asthma,"[""chill"", ""rash"", ""chill"", ""confusion"", ""nausea"", ""tremor"", ""palpitations""]",Follow prescribed medication schedules carefully.
Hypothyroidism,"[""chill"", ""loss of smell"", ""night sweats"", ""sore throat"", ""rash""]",Quit smoking and avoid alcohol consumption.
Migraine,"[""loss of smell"", ""swelling"", ""dizziness""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""shortness of breath"", ""sore throat"", ""diarrhea"", ""dizziness"", ""night sweats""]",Practice stress-reducing techniques like meditation.
Rheumatoid arthritis,"[""vomiting"", ""tremor"", ""night sweats"", ""headache""]",Practice stress-reducing techniques like meditation.
Pneumocystis carinii pneumonia,"[""night sweats"", ""confusion"", ""rash"", ""loss of smell"", ""agitation"", ""chill"", ""swelling"", ""tremor""]",Quit smoking and avoid alcohol consumption.
Alzheimer's disease,"[""cough"", ""palpitations"", ""fatigue""]",Quit smoking and avoid alcohol consumption. Get adequate rest and sleep.
Anemia,"[""cough"", ""tremor"", ""rash"", ""chest pain"", ""weight loss"", ""palpitations"", ""joint pain""]",Maintain a balanced diet and stay hydrated. Maintain hygiene to prevent infections.
Asthma,"[""headache"", ""dizziness"", ""chill"", ""rash"", ""shortness of breath""]",Maintain hygiene to prevent infections.
COPD,"[""cough"", ""sore throat"", ""headache""]",Get adequate rest and sleep. Avoid known triggers and allergens.
Adenocarcinoma,"[""weight loss"", ""nausea"", ""sore throat""]",Maintain hygiene to prevent infections. Follow prescribed medication schedules carefully.
Pneumocystis carinii pneumonia,"[""seizure"", ""chest pain"", ""fatigue"", ""joint pain"", ""blurred vision"", ""palpitations"", ""dizziness""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""diarrhea"", ""fatigue"", ""sleeplessness"", ""sore throat""]",Stay informed and get vaccinated when available. Get adequate rest and sleep.
Rheumatoid arthritis,"[""vomiting"", ""swelling"", ""loss of taste"", ""constipation"", ""shortness of breath"", ""fatigue"", ""cough"", ""dizziness""]",Practice stress-reducing techniques like meditation. Maintain a balanced diet and stay hydrated.
Gastroenteritis,"[""chill"", ""dizziness"", ""confusion"", ""sore throat"", ""diarrhea"", ""fever"", ""fatigue""]",Stay informed and get vaccinated when available.
Diabetes mellitus,"[""diarrhea"", ""muscle twitch"", ""shortness of breath"", ""fatigue"", ""weight loss"", ""seizure"", ""night sweats""]",Avoid known triggers and allergens.
Depression,"[""cough"", ""agitation"", ""seizure""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""vomiting"", ""swelling"", ""headache"", ""seizure"", ""loss of taste""]",Maintain hygiene to prevent infections.
Tuberculosis,"[""rash"", ""fever"", ""headache"", ""chill"", ""fatigue"", ""constipation"", ""loss of taste""]",Maintain a balanced diet and stay hydrated.
Diabetes mellitus,"[""agitation"", ""palpitations"", ""swelling""]",Get adequate rest and sleep. Engage in regular physical activity appropriate to your condition.
COPD,"[""loss of smell"", ""rash"", ""muscle twitch"", ""headache"", ""seizure""]",Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""cough"", ""swelling"", ""fever""]",Get adequate rest and sleep.
Rheumatoid arthritis,"[""swelling"", ""agitation"", ""dizziness"", ""blurred vision"", ""weight loss"", ""nausea"", ""night sweats"", ""sleeplessness""]",Get adequate rest and sleep. Stay informed and get vaccinated when available.
Depression,"[""constipation"", ""confusion"", ""cough"", ""chest pain"", ""palpitations""]",Get adequate rest and sleep.
Hypothyroidism,"[""loss of taste"", ""muscle twitch"", ""chill""]",Follow prescribed medication schedules carefully.
Depression,"[""sleeplessness"", ""palpitations"", ""constipation"", ""diarrhea"", ""cough""]",Ensure regular check-ups with your healthcare provider.
Tuberculosis,"[""confusion"", ""vomiting"", ""chill""]",Quit smoking and avoid alcohol consumption.
Pneumocystis carinii pneumonia,"[""dizziness"", ""fatigue"", ""chest pain""]",Engage in regular physical activity appropriate to your condition.
